supplier_Name,supplier_URL,supplier_category
"Control Design Engineering, Inc.",http://petropages.directory/supplier/control-design-engineering-inc-,Automation Controls
"CONTROLS SUPPLY COMPANY, INC.",http://petropages.directory/supplier/controls-supply-company-inc-,Automation Controls
Controlsupply,http://petropages.directory/supplier/controlsupply,Automation Controls
Cooling Concepts,http://petropages.directory/supplier/cooling-concepts,Automation Controls
Cordyne Industrial Controls,http://petropages.directory/supplier/cordyne-industrial-controls,Automation Controls
Core Lab Inc./ Pastech,http://petropages.directory/supplier/core-lab-inc-pastech,Automation Controls
CORPUS CHRISTI ELECTRIC,http://petropages.directory/supplier/corpus-christi-electric,Automation Controls
Cowco Inc.,http://petropages.directory/supplier/cowco-inc-,Automation Controls
CPUSA (Control Panels USA Inc.),http://petropages.directory/supplier/cpusa-control-panels-usa-inc-,Automation Controls
Crane Valve Services,http://petropages.directory/supplier/crane-valve-services,Automation Controls
Daily Thermetrics Corporation,http://petropages.directory/supplier/daily-thermetrics-corporation,Automation Controls
"Dartron Manufacturing, Inc.",http://petropages.directory/supplier/dartron-manufacturing-inc-,Automation Controls
Data Track Process Instruments Ltd.,http://petropages.directory/supplier/data-track-process-instruments-ltd-,Automation Controls
DataMite Technologies Company,http://petropages.directory/supplier/datamite-technologies-company,Automation Controls
"Dawson and Associates, Inc.",http://petropages.directory/supplier/dawson-and-associates-inc-,Automation Controls
"Dearman Systems, Inc.",http://petropages.directory/supplier/dearman-systems-inc-,Automation Controls
Decatur Industrial Electric,http://petropages.directory/supplier/decatur-industrial-electric,Automation Controls
"Detcon, Inc.",http://petropages.directory/supplier/detcon-inc-,Automation Controls
DEVAR INC.,http://petropages.directory/supplier/devar-inc-,Automation Controls
Diamond Power Specialty Company,http://petropages.directory/supplier/diamond-power-specialty-company,Automation Controls
DIGICONT,http://petropages.directory/supplier/digicont,Automation Controls
Donovan Controls,http://petropages.directory/supplier/donovan-controls,Automation Controls
"Double E Engineering Sales, Inc.",http://petropages.directory/supplier/double-e-engineering-sales-inc-,Automation Controls
"DRES-CO Partnership, Ltd.",http://petropages.directory/supplier/dres-co-partnership-ltd-,Automation Controls
Dresser-Rand Control Systems,http://petropages.directory/supplier/dresser-rand-control-systems,Automation Controls
"Drive Systems, Inc.",http://petropages.directory/supplier/drive-systems-inc-,Automation Controls
"Drying Technology, Inc.",http://petropages.directory/supplier/drying-technology-inc-,Automation Controls
Dumag KG Ultrasonic Combustion Techn.,http://petropages.directory/supplier/dumag-kg-ultrasonic-combustion-techn-,Automation Controls
"DWD International, LLC",http://petropages.directory/supplier/dwd-international-llc,Automation Controls
"Dwyer Instruments, Inc",http://petropages.directory/supplier/dwyer-instruments-inc,Automation Controls
